Store,Address,Latitude,Longitude,
마두역점,경기도 고양시 일산동구 중앙로 1193 마두법조빌딩 1층 ,37.65324607,126.7765594,
수원역점,"경기도 수원시 팔달구 매산로 11,  2층  ",37.26758444,127.0026712,
부천역점,경기도 부천시 부천로4 2층 ,37.48460376,126.7835365,
장안점,"서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체  ",37.570962,127.0705285,
서초역1번출구점,서울특별시 서초구 서초대로 250 스타갤러리 브릿지 1층 101호 ,37.49485665,127.0139343,
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층 ,37.24670635,127.0596377,
대치사거리점,서울특별시 강남구 삼성로 352 창진빌딩 1층 및 2층 ,37.50322176,127.0589975,
매헌역점,서울특별시 서초구 동산로 1  1층 ,37.46910624,127.0400912,
문래동점,서울특별시 영등포구 문래동6가 5번지 1층 ,37.5197854,126.8889875,
해운대점,부산광역시 해운대구 해운대 해변로277 다옴빌딩1층 ,35.1600745,129.1616117,
역삼동태광타워점,서울특별시 강남구 역삼동 718-20  태광타워 1층 ,37.50112477,127.040011,
수지동천점,경기 용인시 수지구 손곡로 95 송란빌딩 1층 ,37.33616783,127.0918103,
파주운정홈플러스점,경기도 파주시 청암로 17번길 17 1층 ,37.75139529,126.7682694,
잠원논현역점,서울특별시 서초구 신반포로47길 5 건물전체 1~3층 ,37.51106185,127.0193818,
천호역점,서울특별시 강동구 올림픽로 659 쌍용플래티넘리버 1층 ,37.54045017,127.1234662,
강남대점,경기도 용인시 기흥구 강남로 3 강남앤플러스 1층 ,37.27437157,127.1263366,
홍대역8번출구점,서울특별시 마포구 양화로18안길 7 2층 ,37.55702703,126.9250145,
산본역점,경기도 군포시 광정로58 1층 104호 및 2층 ,37.3586106,126.9309581,
부천상동점,경기도 부천시 길주로 111 센타플라자 1층 ,37.5065336,126.7548742,
안양1번가점,경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층 ,37.39965525,126.9219212,
원주AK플라자점,강원도 원주시 봉화로1 AK플라자원주점 1층 ,37.34582115,127.9278368,
송파파크하비오B1점,"서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층  ",37.48138256,127.1237613,
화정중앙공원점,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호 ,37.63178193,126.8329492,
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층 ,37.49901603,127.0292901,
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층 ,37.49758293,127.0245124,
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113 ,37.48154307,127.1221169,
문정역엠스테이트점,서울특별시 송파구 문정동 643-1번지 엠스테이트 B동 지하1층 ,37.48717697,127.1197591,
상봉역점,서울특별시 중랑구 망우로 291 1층 ,37.59660176,127.0848318,
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층 ,37.55349261,127.1560287,
노원역점,"서울특별시 노원구 노해로 490, 길빌딩 2층  ",37.65455691,127.0624131,
합정역점,"서울특별시 마포구 독막로 13, 2층  ",37.5489407,126.915097,
종각역점,서울특별시 종로구 종로 70 2층 ,37.56997301,126.9851323,
평택소사점,"경기도 평택시 평남로 862, 로이드빌딩 1층  ",37.00135032,127.111654,
몽촌토성역점,"서울특별시 송파구 방이동 44-2, 장은빌딩 1층  ",37.51707231,127.1127526,
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ",37.49232997,127.0416174,
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ",37.63927668,127.025741,
송도트리플스트리트점,"인천광역시 연수구 송도과학로 16번길 33-4 D동 119호,207호  ",37.37865237,126.6637464,
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층 ,37.54005998,127.0949109,
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층 ,37.52004532,126.9278537,
현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층 ,37.4777813,127.1249457,
합정푸르지오점,"서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층  ",37.551241,126.9125472,
신논현역2번출구점,서울특별시 서초구 강남대로 475 2층 ,37.50485643,127.0238581,
위례2차아이파크점,서울특별시 송파구 위례광장로 230 위례2차 아이파크 B동 1층 ,37.47994693,127.144138,
혜화역1번출구점,서울특별시 종로구 대학로 128 2층 ,37.58285293,127.0021965,
한성대입구역점,서울특별시 성북구 삼선교로 12 1층 ,37.58783563,127.0070563,
한티역디마크빌딩점,서울특별시 강남구 도곡로 408 디마크빌딩 1층 ,37.49710851,127.0552349,
논현201-5번지점,"서울특별시 강남구  강남대로112길 20 1층, 2층  ",37.50574724,127.0260514,
부산수영역점,부산광역시 수영구 수영로 667 1층 ,35.16555094,129.114431,
부산정관점,"부산광역시 기장군 정관로 563 1층,2층  ",35.32210936,129.1755713,
수원송죽DT점,경기도 수원시 장안구 경수대로 989 ,37.30519209,127.0029262,
동교동삼거리점,서울특별시 마포구 양화로 196(동교동) ,37.55852945,126.9264926,
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동) ,37.45051042,127.149766,
응암동점 ,"서울특별시 은평구 은평로 121(응암동), 메디컬빌딩  ",37.60044238,126.921124,
서수원이마트점,"경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층  ",37.28282241,126.969992,
양천향교역점,서울특별시 강서구 강서로 457(마곡동) ,37.56707781,126.8404181,
